SO,n,perc
frontiers in endocrinology,127,0.058453961751777785
journal of neurotrauma,127,0.058453961751777785
journal of physics condensed matter,127,0.058453961751777785
nature materials,127,0.058453961751777785
proceedings of the combustion institute,127,0.058453961751777785
energy and buildings,126,0.05799369433640945
estuaries and coasts,126,0.05799369433640945
journal of hydrometeorology,126,0.05799369433640945
journal of medical entomology,126,0.05799369433640945
journal of the american water resources association,126,0.05799369433640945
journal of trauma and acute care surgery,126,0.05799369433640945
marine ecology progress series,126,0.05799369433640945
sustainability switzerland,126,0.05799369433640945
ieee transactions on power systems,124,0.057073159505672794
journal of neuroscience,124,0.057073159505672794
journal of quantitative spectroscopy and radiative transfer,124,0.057073159505672794
journals of gerontology series a biological sciences and medical sciences,124,0.057073159505672794
poultry science,124,0.057073159505672794
journal of clinical medicine,123,0.05661289209030446
military psychology,123,0.05661289209030446
space weather,123,0.05661289209030446
frontiers in public health,122,0.05615262467493614
molecular psychiatry,122,0.05615262467493614
nature physics,122,0.05615262467493614
computer methods in applied mechanics and engineering,121,0.05569235725956781
environmental research,121,0.05569235725956781
ecological indicators,120,0.05523208984419948
journal of spacecraft and rockets,120,0.05523208984419948
nature astronomy,120,0.05523208984419948
propellants explosives pyrotechnics,120,0.05523208984419948
women s health issues,120,0.05523208984419948
bmc genomics,119,0.054771822428831156
frontiers in earth science,119,0.054771822428831156
materials and design,119,0.054771822428831156
zootaxa,119,0.054771822428831156
aids and behavior,118,0.054311555013462826
antimicrobial agents and chemotherapy,118,0.054311555013462826
journal of alloys and compounds,118,0.054311555013462826
journal of clinical oncology,118,0.054311555013462826
journal of the american medical informatics association,118,0.054311555013462826
digestive diseases and sciences,117,0.05385128759809449
journal of cosmology and astroparticle physics,117,0.05385128759809449
scripta materialia,117,0.05385128759809449
acta astronautica,116,0.053391020182726165
clinical gastroenterology and hepatology,116,0.053391020182726165
journal of alzheimer s disease,116,0.053391020182726165
journal of clinical sleep medicine,116,0.053391020182726165
restoration ecology,116,0.053391020182726165
frontiers in genetics,115,0.052930752767357835
geochimica et cosmochimica acta,115,0.052930752767357835
ieee journal of photovoltaics,115,0.052930752767357835
journal of the american academy of dermatology,115,0.052930752767357835
blood advances,113,0.05201021793662118
bmj case reports,113,0.05201021793662118
computer physics communications,113,0.05201021793662118
langmuir,113,0.05201021793662118
environmental health perspectives,112,0.05154995052125285
frontiers in neuroscience,112,0.05154995052125285
journal of acquired immune deficiency syndromes,112,0.05154995052125285
astrobiology,111,0.05108968310588451
jama health forum,111,0.05108968310588451
nature energy,111,0.05108968310588451
plasma physics and controlled fusion,111,0.05108968310588451
chest,110,0.0506294156905162
frontiers in oncology,110,0.0506294156905162
biological psychiatry,109,0.05016914827514786
journal of applied crystallography,109,0.05016914827514786
acs applied nano materials,108,0.04970888085977953
archives of physical medicine and rehabilitation,108,0.04970888085977953
